Sort 8, 92, 29, 0, -5, 4, 1, -6, -2 in descending order.
92, 29, 8, 4, 1, 0, -2, -5, -6
Sort -3, 173, -2, 8, 3, 12, 0, 9, 2 in increasing order.
-3, -2, 0, 2, 3, 8, 9, 12, 173
Put 2, 6, 13, -7, 0, 25, -1, 18, 1 in decreasing order.
25, 18, 13, 6, 2, 1, 0, -1, -7
Sort 14, 2, 0, 4, 8, -3, 11, 6, 100 in decreasing order.
100, 14, 11, 8, 6, 4, 2, 0, -3
Sort -12, 25, 9, 1, 5, 0, 394, 3, 2.
-12, 0, 1, 2, 3, 5, 9, 25, 394
Put 9, -12, 1, 5, 4, 14, -2, -7, 8 in decreasing order.
14, 9, 8, 5, 4, 1, -2, -7, -12
Sort -2, -5, 8, 1, 5, 3, 1365, 4, 6 in ascending order.
-5, -2, 1, 3, 4, 5, 6, 8, 1365
Put 5, 2, 3, 7, -27, -2, 0, 14, 20 in decreasing order.
20, 14, 7, 5, 3, 2, 0, -2, -27
Sort 9, -9, 169, 3, 5, 2, 18, 39, 1.
-9, 1, 2, 3, 5, 9, 18, 39, 169
Sort 0, 7869, 9, 7, -3, 5, -5, 4, 8 in descending order.
7869, 9, 8, 7, 5, 4, 0, -3, -5
Sort 838, -4, 7, 2, 5, -16, 4, 1, 3 in decreasing order.
838, 7, 5, 4, 3, 2, 1, -4, -16
Sort 4, 7, 134, 0, -2, 5, 56, 3, -3 in decreasing order.
134, 56, 7, 5, 4, 3, 0, -2, -3
Sort 3, 6, 0, -3, 5, 1, 5030, 4, 37 in increasing order.
-3, 0, 1, 3, 4, 5, 6, 37, 5030
Sort 1, 7, 215, 3, -4, 6, 4, -6, -1.
-6, -4, -1, 1, 3, 4, 6, 7, 215
Sort -2, 28, -1, 0, 5, 17, 1, -3, 7.
-3, -2, -1, 0, 1, 5, 7, 17, 28
Sort -4, 3, -5, 4, 25, 29, 2, 17, 9 in decreasing order.
29, 25, 17, 9, 4, 3, 2, -4, -5
Put 6, 5, -16, 1, 0, 8, -1, -59, 7 in decreasing order.
8, 7, 6, 5, 1, 0, -1, -16, -59
Put 0, -10, 1, -3, -4, 6, 7, -5, 5 in increasing order.
